,movie_id,title,genres,rating
0,1.0,Toy Story (1995),Animation|Children's|Comedy,
1,2.0,Jumanji (1995),Adventure|Children's|Fantasy,4.146846413095811
2,3.0,Grumpier Old Men (1995),Comedy|Romance,3.20114122681883
3,4.0,Waiting to Exhale (1995),Comedy|Drama,3.01673640167364
4,5.0,Father of the Bride Part II (1995),Comedy,2.7294117647058824
5,6.0,Heat (1995),Action|Crime|Thriller,3.0067567567567566
6,7.0,Sabrina (1995),Comedy|Romance,3.8787234042553194
7,8.0,Tom and Huck (1995),Adventure|Children's,3.410480349344978
8,9.0,Sudden Death (1995),Action,3.014705882352941
9,10.0,GoldenEye (1995),Action|Adventure|Thriller,2.656862745098039
10,11.0,"American President, The (1995)",Comedy|Drama|Romance,3.5405405405405403
11,12.0,Dracula: Dead and Loving It (1995),Comedy|Horror,3.7938044530493706
12,13.0,Balto (1995),Animation|Children's,2.3625
13,14.0,Nixon (1995),Drama,3.2626262626262625
14,15.0,Cutthroat Island (1995),Action|Adventure|Romance,3.542483660130719
15,16.0,Casino (1995),Drama|Thriller,2.458904109589041
16,17.0,Sense and Sensibility (1995),Drama|Romance,3.7932551319648096
17,18.0,Four Rooms (1995),Thriller,4.027544910179641
18,19.0,Ace Ventura: When Nature Calls (1995),Comedy,3.337579617834395
19,20.0,Money Train (1995),Action,2.480719794344473
20,21.0,Get Shorty (1995),Action|Comedy|Drama,2.5375
21,22.0,Copycat (1995),Crime|Drama|Thriller,3.6238938053097347
22,23.0,Assassins (1995),Thriller,3.3492063492063493
23,24.0,Powder (1995),Drama|Sci-Fi,2.857142857142857
24,25.0,Leaving Las Vegas (1995),Drama|Romance,3.1794871794871793
25,26.0,Othello (1995),Drama,3.6510204081632653
26,27.0,Now and Then (1995),Drama,3.53
27,28.0,Persuasion (1995),Romance,2.9344262295081966
28,29.0,"City of Lost Children, The (1995)",Adventure|Sci-Fi,4.055865921787709
29,30.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,4.062034739454094
30,31.0,Dangerous Minds (1995),Drama,3.6486486486486487
31,32.0,Twelve Monkeys (1995),Drama|Sci-Fi,3.1134751773049647
32,33.0,Wings of Courage (1995),Adventure|Romance,3.945731303772336
33,34.0,Babe (1995),Children's|Comedy|Drama,3.0
34,35.0,Carrington (1995),Drama|Romance,3.8914905768132497
35,36.0,Dead Man Walking (1995),Drama,3.3142857142857145
36,37.0,Across the Sea of Time (1995),Documentary,3.9579741379310347
37,38.0,It Takes Two (1995),Comedy,3.5
38,39.0,Clueless (1995),Comedy|Romance,2.8214285714285716
39,40.0,"Cry, the Beloved Country (1995)",Drama,3.6233480176211454
40,41.0,Richard III (1995),Drama|War,3.933333333333333
41,42.0,Dead Presidents (1995),Action|Crime|Drama,3.958677685950413
42,43.0,Restoration (1995),Drama,2.8687782805429864
